kegg_k_name,ATG12,ATG5,AZI2,CASP10,CASP8,CXCL9,CYLD,TKFC,DDX3X,RIG-I,LGP2,FADD,MDA5,IFNA1,IKBKA,IKBKB,IKKe,IKBKG,IRF3,IRF7,JNK,MAP3K1,MAP3K7,MAVS,MTMR10,NFKB1,NFKBIA,NFKBIB,NLRP12,NLRX1,OTUD5,P38,PIN1,PYCARD,RELA,RIPK1,SIKE,STRN1,TANK,TBK1,TNFa,TRADD,TRAF2,TRAF3,TRAF5,TRAF6,TRIM14,TRIM25,UBC
LGP2,0.091049148,0.091049148,0,0,0,0,0,0.130039167,0,1,0.130039167,0,1,0,0,0,0,0,0,0,0,0,0,0.136956467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FADD,0,0,0.164124032,1,1,0,0,0,0,0,0,0.534689803,0,0,0,0,0,0,0,0,0,0,0,0.082752271,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.164124032,0,0,1,0,0.196594822,0,0,0,0,0
MDA5,0.071209797,0.071209797,0,0,0,0,0,0,0,0.102786863,0,0,0.239442085,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109305717,0,0,0.109305717,0,0,0
IFNA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305154042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22654075,0,0,0,0,0,0,0,0
IKBKA,0,0,0,0,0,0,0,0,0.139317614,0,0,0,0,0,0.475199714,1,0.149771523,1,0.071352209,0.071352209,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149771523,0,0,0,0,0,0,0,0,0
IKBKB,0,0,0,0,0,0,0,0,0.139317614,0,0,0,0,0,1,0.503617185,0.149771523,1,0.071352209,0.071352209,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.149771523,0,0,0,0,0,0,0,0,0
IKKe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.077235482,0.077235482,0.594455086,1,1,1,0,0,0,0,0,0,0.077235482,0.077235482,0,0,0,0,0.166791386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IKBKG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.570677144,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0.166791386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IRF3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.371901801,0.098238989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04447967,0,0,0,0,0,0,0,0
IRF7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.040459225,0.098238989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04447967,0,0,0,0,0,0,0,0
